model,verdict_G,verdict_P,verdict_U,total
claude-sonnet-4-5,32,14,5,51
gemini-2-0-flash-exp,27,22,2,51
gpt-4o,19,27,6,52
gpt-5-mini,35,20,0,55
TOTAL,113,83,13,209
